Timestamp;Width;Height;Images;GenTime_ms;TotalTime_ms;GenTime_sec;TotalTime_sec
00:04:10;5;5;False;21;72;0,02;0,07
00:04:10;5;5;False;3;26;0,00;0,03
00:04:15;5;5;False;3;29;0,00;0,03
00:10:54;14;10;False;426;476;0,43;0,48
00:13:51;11;15;False;585;626;0,58;0,63
00:13:53;13;15;False;687;727;0,69;0,73
00:13:56;11;12;False;341;380;0,34;0,38
00:13:57;14;15;False;746;784;0,75;0,78
00:13:58;13;10;False;344;377;0,34;0,38
00:14:00;14;15;False;783;816;0,78;0,82
00:14:24;5;5;False;3;27;0,00;0,03
00:14:33;50;5;False;14;46;0,01;0,05
00:14:51;50;50;False;13348;13484;13,35;13,48
00:14:56;5;50;False;17;31;0,02;0,03
00:14:58;5;50;False;20;36;0,02;0,04
00:14:59;5;50;False;15;30;0,01;0,03
00:15:00;5;50;False;13;28;0,01;0,03
00:15:01;5;50;False;22;47;0,02;0,05
00:15:01;5;50;False;18;36;0,02;0,04
00:15:02;5;50;False;19;36;0,02;0,04
00:15:03;5;50;False;12;26;0,01;0,03
00:15:04;5;50;False;22;38;0,02;0,04
00:15:05;5;50;False;23;40;0,02;0,04
00:15:05;5;50;False;19;36;0,02;0,04
00:15:10;5;5;False;4;21;0,00;0,02
20:57:15;25;15;False;1577;1664;1,58;1,66
21:01:59;25;15;False;1527;1585;1,53;1,58
21:02:03;25;15;False;1510;1568;1,51;1,57
21:02:05;25;15;False;1368;1421;1,37;1,42
21:02:08;25;15;False;1448;1498;1,45;1,50
21:02:11;25;15;False;1494;1556;1,49;1,56
21:02:16;25;15;False;1570;1623;1,57;1,62
21:02:22;25;15;False;1651;1705;1,65;1,71
21:02:25;25;15;False;1521;1572;1,52;1,57
21:02:28;25;15;False;1524;1576;1,52;1,58
21:02:30;25;15;False;1346;1393;1,35;1,39
21:02:41;25;15;False;1565;1616;1,56;1,62
21:02:44;25;15;False;1601;1649;1,60;1,65
21:02:48;25;15;False;1403;1457;1,40;1,46
21:02:54;25;15;False;1373;1426;1,37;1,43
21:02:57;25;15;False;1556;1614;1,56;1,61
21:03:00;25;15;False;1440;1491;1,44;1,49
21:03:04;25;15;False;1469;1517;1,47;1,52
21:03:08;25;15;False;1496;1543;1,50;1,54
21:03:11;25;15;False;1469;1528;1,47;1,53
21:03:14;25;15;False;1483;1533;1,48;1,53
21:03:17;25;15;False;1470;1519;1,47;1,52
21:03:21;25;15;False;1618;1667;1,62;1,67
21:03:24;25;15;False;1493;1541;1,49;1,54
21:03:27;25;15;False;1491;1542;1,49;1,54
21:03:30;25;15;False;1295;1343;1,29;1,34
21:03:33;25;15;False;1398;1448;1,40;1,45
21:03:36;25;15;False;1385;1444;1,39;1,44
21:03:39;25;15;False;1494;1544;1,49;1,54
21:03:41;25;15;False;1430;1480;1,43;1,48
21:03:44;25;15;False;1370;1420;1,37;1,42
21:03:46;25;15;False;1439;1488;1,44;1,49
21:03:49;25;15;False;1387;1435;1,39;1,44
21:03:52;25;15;False;1580;1631;1,58;1,63
21:03:56;25;15;False;1446;1495;1,45;1,50
21:03:59;25;15;False;1387;1434;1,39;1,43
21:04:02;25;15;False;1600;1648;1,60;1,65
21:04:07;25;15;False;1423;1470;1,42;1,47
21:04:09;25;15;False;1436;1485;1,44;1,49
21:04:15;25;15;False;1500;1552;1,50;1,55
21:04:18;25;15;False;1646;1695;1,65;1,70
21:04:21;25;15;False;1674;1732;1,67;1,73
21:04:25;25;15;False;1540;1590;1,54;1,59
21:04:27;25;15;False;1555;1608;1,55;1,61
21:04:30;25;15;False;1616;1672;1,62;1,67
21:04:44;25;15;False;1592;1642;1,59;1,64
21:04:47;25;15;False;1544;1591;1,54;1,59
21:04:50;25;15;False;1393;1443;1,39;1,44
21:04:52;25;15;False;1438;1486;1,44;1,49
21:05:02;25;15;False;1551;1611;1,55;1,61
21:05:06;25;15;False;1639;1688;1,64;1,69
21:05:09;25;15;False;1559;1608;1,56;1,61
21:05:12;25;15;False;1405;1454;1,41;1,45
21:05:15;25;15;False;1442;1491;1,44;1,49
21:05:19;25;15;False;1471;1518;1,47;1,52
21:05:25;25;15;False;1396;1448;1,40;1,45
21:05:28;25;15;False;1427;1477;1,43;1,48
21:05:33;25;15;False;1554;1603;1,55;1,60
21:05:41;25;15;False;1324;1373;1,32;1,37
21:05:47;25;15;False;1598;1647;1,60;1,65
21:05:54;25;15;False;1563;1612;1,56;1,61
21:06:03;25;15;False;1465;1521;1,47;1,52
21:06:19;25;15;False;1544;1595;1,54;1,59
21:06:22;25;15;False;1394;1441;1,39;1,44
21:06:25;25;15;False;1584;1634;1,58;1,63
21:06:33;25;15;False;1582;1630;1,58;1,63
21:06:36;25;15;False;1603;1660;1,60;1,66
21:06:39;25;15;False;1408;1458;1,41;1,46
21:07:00;25;15;False;1453;1510;1,45;1,51
21:07:04;25;15;False;1484;1537;1,48;1,54
21:07:07;25;15;False;1538;1591;1,54;1,59
21:07:11;25;15;False;1566;1617;1,57;1,62
21:07:14;25;15;False;1463;1511;1,46;1,51
21:07:18;25;15;False;1527;1576;1,53;1,58
21:07:21;25;15;False;1444;1494;1,44;1,49
21:09:32;25;15;True;1813;1863;1,81;1,86
21:11:12;25;15;True;1866;1919;1,87;1,92
21:22:31;25;15;True;2067;2129;2,07;2,13
21:23:09;25;15;False;1504;1590;1,50;1,59
21:23:13;25;15;True;2056;2115;2,06;2,12
